"#","00_IDENTIFICADOR DE L'ALUMNE/A","01_NOM","02_DATA NAIXEMENT","03_RESPONSABLE 1","04_TELÈFON RESP. 1","05_MÒBIL RESP. 1","06_ADREÇA ELECTR. RESP. 1","07_RESPONSABLE 2","08_TELÈFON RESP. 2","09_MÒBIL RESP. 2","10_ADREÇA ELECTR. RESP. 2","11_ADREÇA","12_LOCALITAT","13_MUNICIPI","14_CORREU ELECTRÒNIC","15_ALTRES TELÈFONS","16_CENTRE PROCEDÈNCIA","17_GRUPSCLASSE"
"1","75302838819","Rios Salazar, Alan","27/02/1997","Torres Galindo, Lola","+34 XXXXXXX","+34 XXXXXXX","alan@mailintaor.com","Palacios Cabello, Aleix","+34 XXXXZZZZ","+34 XXXXLLL","lola@mailintaor.com","c/ de l'aviador Aleix Palacios Cabello","L'Armentera","Albanyà","alan@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","27986129851","Flores Llorens, Leo","06/11/1997","Romero Carbonell, Joel","+34 XXXXXXX","+34 XXXXXXX","leo@mailintaor.com","Suarez Viñas, Valentina","+34 XXXXZZZZ","+34 XXXXLLL","joel@mailintaor.com","c/ de l'aviador Valentina Suarez Viñas","L'Armentera","Albanyà","leo@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","21015648797","Avila Mora, Mar","03/03/1996","Gallego Soler, Jana","+34 XXXXXXX","+34 XXXXXXX","mar@mailintaor.com","Roman Velasco, Unai","+34 XXXXZZZZ","+34 XXXXLLL","jana@mailintaor.com","c/ de l'aviador Unai Roman Velasco","L'Armentera","Albanyà","mar@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","20270863960","Alonso Vives, Xavi","27/02/1998","Casado Pardo, Irene","+34 XXXXXXX","+34 XXXXXXX","xavi@mailintaor.com","Cardona Gomez, Abril","+34 XXXXZZZZ","+34 XXXXLLL","irene@mailintaor.com","c/ de l'aviador Abril Cardona Gomez","L'Armentera","Albanyà","xavi@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","91571175197","Sanchez Calderon, Guillem","07/04/1990","Marcos Gil, Álvaro","+34 XXXXXXX","+34 XXXXXXX","guillem@mailintaor.com","Badia Galan, Ana","+34 XXXXZZZZ","+34 XXXXLLL","alvaro@mailintaor.com","c/ de l'aviador Ana Badia Galan","L'Armentera","Albanyà","guillem@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","99300305529","Cruz Rivera, Emma","22/10/1999","Cruz Molina, Dídac","+34 XXXXXXX","+34 XXXXXXX","emma@mailintaor.com","Parra Aguilar, Erik","+34 XXXXZZZZ","+34 XXXXLLL","didac@mailintaor.com","c/ de l'aviador Erik Parra Aguilar","L'Armentera","Albanyà","emma@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","41862322209","Herrera Pozo, Iris","12/08/1990","Codina Jimenez, Paula","+34 XXXXXXX","+34 XXXXXXX","iris@mailintaor.com","Royo Molina, Dídac","+34 XXXXZZZZ","+34 XXXXLLL","paula@mailintaor.com","c/ de l'aviador Dídac Royo Molina","L'Armentera","Albanyà","iris@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","64720095513","Suarez Quintana, Arlet","11/11/1997","Costa Gallego, Noa","+34 XXXXXXX","+34 XXXXXXX","arlet@mailintaor.com","Exposito Ribas, Ayman","+34 XXXXZZZZ","+34 XXXXLLL","noa@mailintaor.com","c/ de l'aviador Ayman Exposito Ribas","L'Armentera","Albanyà","arlet@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","93270251386","Luna Gomez, Alan","15/11/1994","Roman Palacios, Valentina","+34 XXXXXXX","+34 XXXXXXX","alan@mailintaor.com","Castro Benitez, Pol","+34 XXXXZZZZ","+34 XXXXLLL","valentina@mailintaor.com","c/ de l'aviador Pol Castro Benitez","L'Armentera","Albanyà","alan@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","28571848651","Dominguez Linares, Ismael","01/07/1991","Marti Lara, Carlota","+34 XXXXXXX","+34 XXXXXXX","ismael@mailintaor.com","Gonzalez Ordoñez, Ana","+34 XXXXZZZZ","+34 XXXXLLL","carlota@mailintaor.com","c/ de l'aviador Ana Gonzalez Ordoñez","L'Armentera","Albanyà","ismael@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","79299956412","Peña Delgado, Lola","16/09/1999","Rubio Blanch, Ariadna","+34 XXXXXXX","+34 XXXXXXX","lola@mailintaor.com","Puig Sanz, Lucas","+34 XXXXZZZZ","+34 XXXXLLL","ariadna@mailintaor.com","c/ de l'aviador Lucas Puig Sanz","L'Armentera","Albanyà","lola@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
